,약국명,주소,전화번호
25,모두약국,"서울특별시 강남구 테헤란로 지하 156, B2층 219호 (역삼동)",02-508-0429
26,민생약국,"서울특별시 강남구 언주로125길 6, (논현동)",02-547-7903
27,밝은마음약국,"서울특별시 강남구 논현로 841, 제이비 미소빌딩 110호 (신사동)",02-6203-7770
28,베스트약국,서울특별시 강남구 도곡로 423,02-569-8968
29,삼성해든약국,"서울특별시 강남구 삼성로 520, 1층 (삼성동)",02-562-0361
30,상지온누리약국,"서울특별시 강남구 선릉로93길 8, 1층 (역삼동)",02-554-0624
31,새생명약국,서울특별시 강남구 삼성로146길 8 1층 (청담동),02-512-3389
32,새휘정약국,서울특별시 강남구 학동로101길 26  (청담동),02-542-1910
33,샘약국,서울특별시 강남구 테헤란로 322  (역삼동),02-558-3347
34,생생온누리약국,"서울특별시 강남구 논현로 842, 압구정빌딩 1층 (신사동)",070-8888-3380
35,서울메디약국,서울특별시 강남구 역삼로 406  (대치동),02-501-5063
36,세곡온누리약국,"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동)",070-8828-7963
37,세종약국,서울특별시 강남구 밤고개로1길 22,02-459-9464
38,솔약국,서울특별시 강남구 개포로 615  (개포동),02-2226-9828
39,수서역약국,서울특별시 강남구 광평로 지하 270 수서역 지하 1층 (수서동),02-3412-5533
40,수서역정민아약국,"서울특별시 강남구 광평로56길 8-13, 1층 101호 (수서동, 수서타워)",02-3412-7655
41,수약국,"서울특별시 강남구 선릉로69길 19  (역삼동, 역삼래미안아파트)",02-563-1601
42,스토리약국,"서울특별시 강남구 남부순환로359길 27, 1층 (도곡동)",02-6401-9002
43,신논현비비약국,"서울특별시 강남구 강남대로 476, urbanhive 지하2층 (논현동)",02-542-8559
44,신분당약국,"서울특별시 강남구 강남대로 지하 396, 23호 (역삼동, 신분당선 강남역내)",02-558-0803
45,신사굿약국,"서울특별시 강남구 도산대로 120, 청호빌딩 1층 (논현동)",02-541-9165
46,신사라라약국,"서울특별시 강남구 도산대로 131, 1층 일부호 (신사동)",02-515-7414
47,신사약국,"서울특별시 강남구 도산대로 109, 1층 101호(신사동)",02-514-3704
48,신사역365약국,"서울특별시 강남구 도산대로 지하102, 신사역 B1층 104호 (신사동)",070-8864-0704
49,아름다운우리약국,서울특별시 강남구 논현로 327,02-564-7582
50,아이디약국,"서울특별시 강남구 도산대로 111, 1층 101호 (신사동)",02-3445-2221
51,압구정예주약국,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)",02-545-3819
52,약사랑약국,"서울특별시 강남구 테헤란로 339, 1층 (역삼동)",02-2039-9112
53,양재소화약국,서울특별시 강남구 남부순환로363길 17 (도곡동),02-575-3766
54,에메랄드약국,"서울특별시 강남구 도산대로 122, 에메랄드타워 1층 (논현동)",02-3443-0991
55,연세팜약국,"서울특별시 강남구 학동로4길 24, 101호 (논현동)",02-518-2338
56,오렌지약국,"서울특별시 강남구 도산대로 124, 1층일부(논현동,대영빌딩)",02-518-2022
57,위메이크약국,서울특별시 강남구 강남대로 422,02-553-7981
58,유한약국,"서울특별시 강남구 논현로115길 71, 1층 101호 (논현동)",02-547-1696
59,제일그랜드약국,서울특별시 강남구 강남대로 478,02-546-0093
60,종원약국,서울특별시 강남구 강남대로118길 38  (논현동),02-548-8969
61,중앙약국,"서울특별시 강남구 선릉로 815, 1층 5호 (신사동, 신한양빌딩)",02-542-6354
62,중외약국,서울특별시 강남구 학동로4길 35 (논현동),02-549-1771
63,진선약국,서울특별시 강남구 선릉로 424  (대치동),02-567-0429
64,참좋은약국,서울특별시 강남구 테헤란로87길 17,02-508-1363
65,청담와이약국,"서울특별시 강남구 압구정로 461, B104호 (청담동)",02-512-7262
66,케이약국,"서울특별시 강남구 도산대로12길 6, 1층 (논현동)",02-511-8806
67,코코온누리약국,서울특별시 강남구 강남대로 406 ,02-539-1500
68,큰길약국,"서울특별시 강남구 강남대로 370, 지하1층 (역삼동)",02-553-1517
69,테헤란건강약국,서울특별시 강남구 선릉로86길 17  (대치동),02-556-4166
70,트리플약국,서울특별시 강남구 도산대로 108 (논현동) 1층 일부,02-517-5256
71,파크약국,"서울특별시 강남구 도산대로50길 9, 1층 (논현동, 청석빌딩)",02-3443-5561
72,팜엑스약국,서울특별시 강남구 봉은사로 524  (삼성동),02-6002-3060
73,프라임엠약국,서울특별시 강남구 삼성로 352 창원빌딩 (대치동),02-3288-9772
74,플러스약국,"서울특별시 강남구 테헤란로 111, 대건빌딩 1층 일부호 (역삼동)",070-7783-4101
75,해맑은약국,서울특별시 강남구 남부순환로363길 13,02-571-0029
76,행복한수약국,서울특별시 강남구 강남대로 446,02-558-7430
77,호원약국,서울특별시 강남구 언주로108길 15  (역삼동),02-567-5534
